idBase;Sigla;Nome Universidade;PIB;iGG;iGovPub;iGovPessoas;iGovTI;iGovContrat;Result;Taxa Sucesso;COD_IFE;I1;I2;I3;I4;I5; QTD Matriculados ; R$_Desp_Cor_Aluno ; R$_Investido_Aluno ; R$_Assist_Aluno 
179;UFCG;Universidade Federal de Campina Grande;22462,11;0,31430172;0,302325515;0,302331793;0,194252276;0,419693721;0,37527667;50,13;2564;0,093;0,0023;0,1089;0,0655;0,079; 15.503,00 ; 6.497,52 ; 809,63 ; 906,69 
204;UFPI;Fundação Universidade Federal do Piauí;24340,67;0,300973055;0,441376194;0,318874724;0,245660024;0,357781573;0,589730264;49,62;5;0,052;0,0014;0,0871;0,0458;0,0587; 22.423,00 ; 6.678,34 ; 1.076,48 ; 906,63 
186;UNIFAL-MG;Universidade Federal de Alfenas;32866,51;0,18972751;0,283808473;0,168671372;0,084505898;0,366817874;0,132864745;49,26;595;0,054;0,0034;0,0876;0,0703;0,072; 6.233,00 ; 6.601,57 ; 1.184,88 ; 868,13 
173;UFSC;Universidade Federal de Santa Catarina;42719,93;0,228674049;0,212580858;0,20467435;0,150284471;0,428942812;0,217572515;49,1;585;0,073;0,0035;0,0953;0,0789;0,0755; 27.815,00 ; 7.378,46 ; 1.025,68 ; 919,43 
160;UFC;Universidade Federal do Ceará;25113,54;0,511895057;0,555603283;0,497146587;0,690018381;0,487720182;0,73663783;48,8;583;0,12;0,0051;0,0846;0,0618;0,0633; 27.763,00 ; 6.626,30 ; 895,66 ; 871,29 
202;UFOP;Fundação Universidade Federal de Ouro Preto;92356,32;0,36493249;0,374347673;0,336951774;0,407862325;0,451844666;0,47236723;48,68;6;0,066;0,0024;0,0859;0,0593;0,0615; 11.289,00 ; 6.948,75 ; 635,08 ; 849,93 
217;UFGD;Fundação Universidade Federal da Grande Dourados;38427,67;0,205717998;0,277903738;0,208874706;0,093145233;0,282640232;0,132414852;48,55;4504;0,146;0,0033;0,1062;0,0726;0,0828; 6.871,00 ; 6.875,63 ; 998,91 ; 1.009,19 
208;UFMS;Fundação Universidade Federal de Mato Grosso do Sul;8748,74;0,785267178;0,793555416;0,710517913;0,919392697;0,831396882;1;47,72;694;0,104;0,0038;0,0942;0,0628;0,0661; 18.749,00 ; 6.751,66 ; 978,25 ; 747,89 
193;UNIR;Fundação Universidade Federal de Rondônia;32059,05;0,411894117;0,610516225;0,315993518;0,664192723;0,350929283;1;47;699;0,048; -   ;0,0932;0,0449;0,0702; 9.614,00 ; 4.625,49 ; 1.040,48 ; 637,76 
207;UFV;Fundação Universidade Federal de Viçosa;10103,94;0,379081577;0,444504515;0,34596187;0,388243362;0,35787758;0,176563243;46,2;8;0,16;0,0054;0,0962;0,0775;0,0796; 13.729,00 ; 9.349,37 ; 1.391,39 ; 983,11 
196;FUB;Fundação Universidade de Brasília;85661,39;0,438265238;0,554289437;0,443683252;0,351792316;0,554559392;0,79776965;46,13;2;0,088;0,0027;0,0821;0,0692;0,0673; 35.923,00 ; 8.653,22 ; 765,56 ; 835,38 
162;UFG;Universidade Federal de Goiás;32992,87;0,563777432;0,570861716;0,539312093;0,779805787;0,744066046;1;45,94;584;0,103;0,006;0,1224;0,0884;0,0922; 24.626,00 ; 7.268,95 ; 987,94 ; 1.076,39 
195;UFAM;Fundação Universidade do Amazonas;36428,54;0,347828984;0,535838274;0,356381014;0,337750733;0,482218317;0,082740469;45,15;4;0,063;0,0014;0,0692;0,0354;0,0487; 27.274,00 ; 4.706,46 ; 685,78 ; 813,20 
181;UFTM;Universidade Federal do Triângulo Mineiro;44594,28;0,383623734;0,35473892;0,352579317;0,292590976;0,421334842;0,264730969;44,66;597;0,245;0,0145;0,1089;0,0832;0,0758; 6.132,00 ; 8.516,09 ; 1.014,67 ; 1.218,29 
197;UFMA;Fundação Universidade Federal do Maranhão;30673,57;0,120769582;0,123548593;0,111565341;0,135420325;0,047731911;0,11621831;43,9;548;0,048;0,0007;0,0593;0,0304;0,0335; 35.764,00 ; 3.171,70 ; 387,16 ; 428,41 
159;UFBA;Universidade Federal da Bahia;22235,7;0,289114197;0,192280658;0,180227677;0,26398493;0,365972433;0,066087368;43,47;578;0,089;0,0034;0,0889;0,0608;0,0557; 35.348,00 ; 6.340,45 ; 439,69 ; 924,69 
176;UFRRJ;Universidade Federal Rural do Rio de Janeiro;51727,16;0,274527793;0,367782066;0,285537139;0,153215109;0,396860983;0,124072171;42;574;0,084;0,0022;0,0654;0,0556;0,0614; 14.256,00 ; 6.261,70 ; 612,54 ; 751,50 
298;UFCA;Universidade Federal do Cariri;17710,46;0,38900889;0,563474747;0,44939366;0,321689596;0,191874992;0,218758825;41,85;18759;0,12;0,0013;0,111;0,0572;0,0737; 2.972,00 ; 7.611,48 ; 2.977,31 ; 1.310,81 
182;UFVJM;Universidade Federal dos Vales do Jequitinhonha e Mucuri;15956,03;0,295508188;0,407796495;0,250571796;0,266487862;0,380190411;0,160771481;41,47;596;0,086;0,0024;0,1041;0,0674;0,0773; 8.471,00 ; 5.446,86 ; 1.724,59 ; 746,69 
167;UFPB;Universidade Federal da Paraíba;24752,78;0,601837089;0,411675437;0,625319137;0,472843992;0,726845088;0,29278997;41,11;579;0,189;0,0055;0,1127;0,0828;0,089; 25.168,00 ; 7.074,97 ; 775,64 ; 1.185,59 
206;UFS;Fundação Universidade Federal de Sergipe;26779,43;0,434328994;0,313305676;0,432017336;0,441747357;0,4412793;0,291696658;39,24;3;0,064;0,0001;0,0813;0,0562;0,059; 22.966,00 ; 5.016,10 ; 1.411,36 ; 1.179,34 
201;UFMT;Fundação Universidade Federal de Mato Grosso;39593,92;0,476709473;0,522420045;0,432290809;0,689247349;0,338812592;0,488693865;39,22;1;0,084;0,002;0,1189;0,0728;0,088; 19.615,00 ; 7.288,71 ; 983,90 ; 850,55 
203;UFPel;Fundação Universidade Federal de Pelotas;25912,63;0,350939365;0,449073612;0,320792701;0,539418583;0,357479567;0,644057552;38,29;634;0,082;0,0059;0,0961;0,0725;0,0738; 16.198,00 ; 6.431,39 ; 519,02 ; 753,90 
185;UTFPR;Universidade Tecnológica Federal do Paraná;45458,27;0,290441539;0,253935934;0,252007552;0,556457221;0,264452906;0,802399336;37,77;588;0,039;0,0011;0,0965;0,0637;0,0803; 29.935,00 ; 4.814,91 ; 1.260,72 ; 659,68 
190;UFERSA;Universidade Federal Rural do Semi-Árido;22103,19;0,46793312;0,390353508;0,397339274;0,484512298;0,46880456;0,236339099;36,43;589;0,057;0,0022;0,0846;0,0496;0,0617; 9.710,00 ; 4.970,50 ; 1.503,15 ; 631,80 
157;UNIVASF;Fundação Universidade Federal do Vale do São Francisco;19443,88;0,412614614;0,51665066;0,361163434;0,380945401;0,525915335;0,420109531;36,28;3984;0,124;0,0014;0,0984;0,059;0,0694; 6.423,00 ; 7.094,73 ; 1.857,87 ; 832,58 
218;UFRB;Universidade Federal do Recôncavo da Bahia;15661,79;0,234566472;0,355118351;0,268671922;0,19517839;0,342438832;0,259621117;34,93;4503;0,081;0,0017;0,1126;0,0665;0,0842; 8.874,00 ; 6.768,61 ; 887,28 ; 872,26 
198;FURG;Fundação Universidade Federal do Rio Grande;51840,76;0,496152519;0,43721351;0,532294744;0,25640645;0,602388536;0,325720911;34,74;12;0,13;0,0102;0,1078;0,0768;0,083; 9.137,00 ; 8.232,55 ; 1.923,96 ; 853,95 
178;UFT;Fundação Universidade Federal do Tocantins;32311,8;0,433082435;0,499244386;0,447672023;0,332139044;0,49276189;0,269705072;34,7;3849;0,061;0,0011;0,0854;0,0493;0,0602; 14.128,00 ; 5.644,92 ; 1.813,94 ; 1.059,61 
175;UFRPE;Universidade Federal Rural de Pernambuco;31996,33;0,605550533;0,646320897;0,584284623;0,538307471;0,637978446;0,534350894;34,18;587;0,149;0,003;0,1032;0,0793;0,0909; 12.843,00 ; 7.166,88 ; 2.195,63 ; 864,64 
200;UFAC;Fundação Universidade Federal do Acre;22213,51;0,250996845;0,336416735;0,236625881;0,224698131;0,234821831;0,124072171;34;549;0,076;0,0008;0,0899;0,0378;0,0541; 9.708,00 ; 5.731,69 ; 1.724,38 ; 1.071,85 
177;UFRR;Universidade Federal de Roraima;26752,61;0,180817781;0,282808186;0,206614944;0,09851911;0,334824253;0,132365484;32,7;789;0,064;0,0007;0,0999;0,0507;0,0766; 5.914,00 ; 7.300,99 ; 1.305,26 ; 777,57 
292;UNILAB;Universidade da Integração Internacional da Lusofonia Afro-Brasileira;21457,64;0,156383926;0,185817227;0,155334152;0,186704723;0,167881015;0,290658798;31,75;15497;0,094;0,0015;0,0749;0,0709;0,0709; 4.779,00 ; 9.040,60 ; 1.880,62 ; 2.626,87 
290;UFFS;Universidade Federal da Fronteira Sul;44363,68;0,613598483;0,680934684;0,605023662;0,546822318;0,637743721;0,440847097;29,2;15121;0,089;0,0022;0,1047;0,0624;0,0693; 7.826,00 ; 6.548,27 ; 2.613,34 ; 1.170,38 
296;UFOB;Universidade Federal do Oeste da Bahia;30844,51;0,299387504;0,359378584;0,254199275;0,238884862;0,349728343;0,23369629;24,77;18506;0,137;0,0021;0,1059;0,0548;0,0918; 2.918,00 ; 7.898,57 ; 3.244,73 ; 1.735,46 
192;UNILA;Universidade Federal da Integração Latino Americana;56701,87;0,480543932;0,401265835;0,394831273;0,4317616;0,615987869;0,153168227;24,24;15001;0,152;0,0017;0,1212;0,0937;0,1017; 3.629,00 ; 10.464,25 ; 4.483,06 ; 2.484,77 
191;UNIPAMPA;Fundação Universidade Federal do Pampa;24642,82;0,569178621;0,632464507;0,571379327;0,457601813;0,583359908;0,440394464;23,46;5322;0,093;0,0033;0,1063;0,078;0,0855; 9.653,00 ; 5.944,02 ; 1.431,10 ; 924,70 
297;UNIFESSPA;Universidade Federal do Sul e Sudeste do Pará;31916,85;0,287310246;0,204295161;0,142405052;0,241916594;0,393014061;0,234362525;12,44;18440;0,077;0,0012;0,1063;0,0602;0,0882; 4.072,00 ; 5.898,62 ; 3.190,23 ; 1.030,33 
299;UFSB;Universidade Federal do Sul da Bahia;19188,26;0,103922448;0,148979998;0,081866244;0,021643615;0,185738759;0,040808889;0,31;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
